ワード,文字数,攻撃力,防御力,機動力,確率,効果
フォーチュン,4,,,,,
ラッキー,3,,,,,
エレガント,5,,,,,
ライトリング,6,,,,,
ロンリネス,5,,,,,
ハート,3,,,,,
地獄,2,,,,,
業火,2,,,,,
バーニング,5,,,,,
ヘル,2,,,,,
フレイム,4,,,,,
ファントム,4,,,,,
ワールド,4,,,,,
リーパー,4,,,,,
ダークネス,5,,,,,
インフィニティ,5,,,,,
インパクト,5,,,,,
最強,2,,,,,
ゲイボルグ,5,,,,,
ニルヴァーナ,5,,,,,
黒炎,2,,,,,
永遠,2,,,,,
漆黒,2,,,,,
ダイアモンド,6,,,,,
エターナル,5,,,,,
シャイニースマイル,8,,,,,
エクスリーム,6,,,,,
サンダー,4,,,,,
キュア,2,,,,,
ショルダー,4,,,,,
サノバビッチ,5,,,,,
タイガー,4,,,,,
アップターンド,6,,,,,
ビート,3,,,,,
ウィンク,3,,,,,
ハリケーン,5,,,,,
奥義,2,,,,,
風林火山,4,,,,,
デステニー,5,,,,,
爆,1,,,,,
怒涛,2,,,,,
根性,2,,,,,
旋風,2,,,,,
本気,2,,,,,
ズババ,3,,,,,
桜,1,,,,,
天上,2,,,,,
天下,2,,,,,
漢,1,,,,,
卍,1,,,,,
ガッツ,2,,,,,
極み,2,,,,,
竜騰虎闘,4,,,,,
キラー,3,,,,,
ソウル,3,,,,,
テラー,3,,,,,
パイル,3,,,,,
ドライバー,5,,,,,
デストロイ,5,,,,,
稲妻,2,,,,,
スパーク,4,,,,,
電動,2,,,,,
ハイパー,4,,,,,
フレア,3,,,,,
太陽,2,,,,,
バスター,4,,,,,
デビル,3,,,,,
★,1,,,,,
スペシャル,4,,,,,
ユニット,3,,,,,
トール,3,,,,,
ゼウス,3,,,,,
レクイエム,5,,,,,
マウンテン,5,,,,,
スプラッシュ,4,,,,,
スピード,4,,,,,
スター,3,,,,,
トゥインクル,5,,,,,
ダイナマイト,6,,,,,
ダイナミック,5,,,,,
スコーピオン,6,,,,,
ブラッド,3,,,,,
もっちり,3,,,,,
ライトニング,6,,,,,
龍,1,,,,,
ドラゴン,4,,,,,
波動,2,,,,,
サイコ,3,,,,,
クラッシャー,4,,,,,
ドライブ,4,,,,,
ファイナル,4,,,,,
ゼロ,2,,,,,
ジャッジ,2,,,,,
メガ,2,,,,,
ペタ,2,,,,,
ビッグ,2,,,,,
ビッグバン,4,,,,,
ファルコン,4,,,,,
レッド,2,,,,,
スーパー,4,,,,,
ブレイク,4,,,,,
ブレイブ,4,,,,,
チャージ,3,,,,,
トライ,3,,,,,
マキシマム,5,,,,,
月光,2,,,,,
ハッスル,3,,,,,
ビックバン,4,,,,,
鳳凰,2,,,,,
光,1,,,,,
雷,1,,,,,
ギガンティック,5,,,,,
ハイ,2,,,,,
念動,2,,,,,
天覇,2,,,,,
神,1,,,,,
天地,2,,,,,
真,1,,,,,
無双,2,,,,,
無想,2,,,,,
ザ,1,,,,,
螺旋,2,,,,,
スペシウム,5,,,,,
ヘブン,3,,,,,
トルネード,5,,,,,
破壊,2,,,,,
マックス,3,,,,,
神速,2,,,,,
閃,1,,,,,
牙,1,,,,,
無限,2,,,,,
黄泉,2,,,,,
轟,1,,,,,
無,1,,,,,
蓮,1,,,,,
鬼,1,,,,,
烈,1,,,,,
舞,1,,,,,
刃,1,,,,,
修羅,2,,,,,
破,1,,,,,
冥,1,,,,,
黒,1,,,,,
カオス,3,,,,,
デス,2,,,,,
シャドウ,3,,,,,
メテオ,3,,,,,
ノヴァ,2,,,,,
グラビティ,4,,,,,
クロノス,4,,,,,
夢,1,,,,,
虚空,2,,,,,
絶望,2,,,,,
デット,2,,,,,
星,1,,,,,
破滅,2,,,,,
ギルティ,3,,,,,
運命,2,,,,,
無敵,2,,,,,
超人,2,,,,,
パレード,4,,,,,
終焉,2,,,,,
クレセント,5,,,,,
メロディ,3,,,,,
Z,1,,,,,
α,1,,,,,
Ω,1,,,,,
パワー,3,,,,,
